host_since,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,price,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_location,calculated_host_listings_count,reviews_per_month,host_days_active,bathrooms,Air conditioning,TV,Extra pillows and blankets,Heating,time_since_first_review,first_review_interval,time_since_last_review,last_review_interval
2019-07-22,Santa Maria Maior,38.71084,-9.13721,Private room,2,49.0,7,365,9,323,6,6,2,2022-04-11,2022-08-30,4.83,5.0,19,1.15,1146.0,1.0,0,1,1,0,156.0,0-6 months,15.0,2-8 weeks
2018-04-22,Penha de Frana,38.72394,-9.12861,Entire home/apt,4,93.0,2,90,15,350,12,12,2,2022-04-26,2022-08-24,3.92,3.58,20,2.54,1602.0,1.0,0,1,1,1,141.0,0-6 months,21.0,2-8 weeks
2019-07-22,Santa Maria Maior,38.70921,-9.13671,Private room,2,44.0,7,365,0,317,1,1,0,2022-06-20,2022-06-20,5.0,5.0,19,0.34,1146.0,1.0,0,1,1,0,86.0,0-6 months,86.0,2-6 months
2016-03-01,Alcabideche,38.74005,-9.39867,Entire home/apt,3,65.0,1,365,19,354,16,16,5,2022-04-13,2022-09-10,3.81,4.19,20,3.12,2384.0,1.0,1,1,0,0,154.0,0-6 months,4.0,0-2 weeks
2020-01-28,Silveira,39.13388,-9.38177,Entire home/apt,4,108.0,3,60,15,317,1,1,0,2022-05-09,2022-05-09,5.0,5.0,28,0.23,956.0,1.0,0,1,1,0,128.0,0-6 months,128.0,2-6 months
2015-04-30,So Vicente,38.7159,-9.12417,Private room,1,40.0,1,1125,10,341,8,8,1,2022-05-05,2022-08-26,4.5,4.75,1,1.8,2690.0,1.0,1,0,0,0,132.0,0-6 months,19.0,2-8 weeks
2014-02-02,Santo Antnio,38.716564,-9.147226,Entire home/apt,6,189.0,2,30,25,178,3,3,2,2022-05-17,2022-08-26,2.67,4.33,3,0.74,3142.0,1.0,0,1,1,0,120.0,0-6 months,19.0,2-8 weeks
2019-08-10,Parque das Naes,38.77461,-9.10067,Private room,3,38.0,1,365,13,60,24,24,2,2022-05-01,2022-08-26,4.33,4.42,8,5.29,1127.0,1.0,0,0,0,0,136.0,0-6 months,19.0,2-8 weeks
2014-06-25,Carcavelos e Parede,38.68616,-9.34863,Entire home/apt,2,84.0,3,1125,0,311,7,7,2,2022-05-14,2022-09-03,4.71,4.71,1,1.71,2999.0,1.0,0,1,1,0,123.0,0-6 months,11.0,0-2 weeks
2019-08-10,Parque das Naes,38.77478,-9.10136,Private room,1,37.0,1,365,12,65,33,33,8,2022-04-13,2022-08-28,4.64,4.55,8,6.43,1127.0,1.0,0,0,1,0,154.0,0-6 months,17.0,2-8 weeks
2016-09-03,Santa Maria Maior,38.71243,-9.12806,Entire home/apt,2,66.0,2,1125,2,307,38,38,7,2022-04-14,2022-09-13,4.45,4.53,5,7.4,2198.0,1.0,0,0,0,0,153.0,0-6 months,1.0,0-2 weeks
2019-08-10,Moscavide e Portela,38.77646,-9.10181,Private room,2,38.0,1,365,16,73,29,29,2,2022-04-19,2022-08-23,4.34,4.59,8,5.88,1127.0,1.0,0,0,0,0,148.0,0-6 months,22.0,2-8 weeks
2022-03-05,Santa Maria Maior,38.715546,-9.134248,Entire home/apt,4,138.0,3,365,3,334,20,20,2,2022-04-18,2022-08-29,4.6,4.75,1,4.0,189.0,1.0,0,1,1,0,149.0,0-6 months,16.0,2-8 weeks
2022-03-11,Misericrdia,38.71275,-9.14674,Private room,1,153.0,1,1125,6,331,6,6,1,2022-04-17,2022-09-05,5.0,5.0,4,1.19,183.0,1.0,0,1,0,1,150.0,0-6 months,9.0,0-2 weeks
2019-07-02,Queluz e Belas,38.78168,-9.26633,Private room,4,100.0,3,365,30,365,8,8,1,2022-05-01,2022-08-21,4.75,4.75,1,1.76,1166.0,1.0,0,1,0,0,136.0,0-6 months,24.0,2-8 weeks
